Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABDICATIONS,56,0,0,0,0,0,2009,0,0,0,0,0,0,0,4,12of12inf
ABDOMEN,57,3205,1.21E-07,8.49E-08,3.71E-06,1795,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMENS,58,9,3.41E-10,1.20E-10,5.68E-08,8,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMINAL,59,15135,5.74E-07,3.84E-07,9.66E-06,6058,0,0,0,0,0,0,0,0,4,12of12inf
ABDOMINALS,60,23,8.72E-10,2.04E-09,5.14E-07,23,0,0,0,0,0,0,0,0,4,12of12inf
ABDUCT,61,5,1.90E-10,7.74E-11,6.18E-08,4,0,0,0,0,0,0,0,0,2,12of12inf
ABDUCTED,62,144,5.46E-09,1.18E-08,2.14E-06,88,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTING,63,5,1.90E-10,9.06E-11,5.00E-08,5,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTION,64,225,8.53E-09,5.74E-09,1.07E-06,137,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTIONS,65,99,3.75E-09,4.70E-09,7.97E-07,57,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTOR,66,9,3.41E-10,8.34E-11,5.90E-08,3,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTORS,67,8,3.03E-10,1.53E-10,7.21E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTS,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABEAM,69,70,2.65E-09,2.97E-09,6.65E-07,41,0,0,0,0,0,0,0,0,2,12of12inf
ABED,70,128,4.85E-09,7.49E-09,2.08E-06,50,0,0,0,0,0,0,0,0,2,12of12inf
ABERRANT,71,2662,1.01E-07,4.84E-08,1.90E-06,1785,2009,0,0,0,0,0,0,0,3,12of12inf
ABERRATION,72,1210,4.59E-08,4.42E-08,3.54E-06,855,2009,0,0,0,0,0,0,0,4,12of12inf
ABERRATIONAL,73,108,4.09E-09,2.91E-09,5.16E-07,70,2009,0,0,0,0,0,0,0,5,12of12inf
ABERRATIONS,74,2240,8.49E-08,7.49E-08,3.24E-06,1540,2009,0,0,0,0,0,0,0,4,12of12inf
ABET,75,1790,6.78E-08,4.08E-08,2.11E-06,1173,0,0,0,0,0,0,0,0,2,12of12inf
ABETS,76,239,9.06E-09,6.16E-09,6.75E-07,184,0,0,0,0,0,0,0,0,2,12of12inf
ABETTED,77,17924,6.79E-07,6.06E-07,1.15E-05,9566,0,0,0,0,0,0,0,0,3,12of12inf
ABETTER,78,33,1.25E-09,2.33E-09,6.64E-07,25,0,0,0,0,0,0,0,0,3,12of12inf
ABETTERS,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABETTING,80,27197,1.03E-06,8.95E-07,1.84E-05,12672,2009,0,0,0,0,0,0,0,3,12of12inf
ABETTOR,81,188,7.13E-09,7.95E-09,1.30E-06,135,0,0,0,0,0,0,0,0,3,12of12inf
ABETTORS,82,105,3.98E-09,4.87E-09,9.22E-07,70,0,0,0,0,0,0,0,0,3,12of12inf
ABEYANCE,83,21079,7.99E-07,4.86E-07,1.03E-05,8363,0,0,2009,0,0,0,0,0,3,12of12inf
ABEYANCES,84,20,7.58E-10,7.36E-10,2.64E-07,19,0,0,2009,0,0,0,0,0,4,12of12inf
ABHOR,85,12,4.55E-10,3.31E-10,1.31E-07,12,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRED,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRENCE,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENCES,88,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRENT,89,56,2.12E-09,1.68E-09,4.37E-07,40,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENTLY,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRING,91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABIDANCE,93,127,4.81E-09,3.51E-09,5.82E-07,108,0,0,0,0,0,0,0,0,3,12of12inf
ABIDANCES,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABIDE,95,92958,3.52E-06,2.16E-06,1.64E-05,56368,0,0,0,0,0,0,2009,0,2,12of12inf
ABIDED,96,808,3.06E-08,1.88E-08,1.30E-06,574,0,0,0,0,0,0,0,0,3,12of12inf
ABIDES,97,1324,5.02E-08,2.83E-08,1.73E-06,1027,0,0,0,0,0,0,0,0,2,12of12inf
ABIDING,98,3850,1.46E-07,1.12E-07,3.70E-06,3065,0,0,0,0,0,0,2009,0,3,12of12inf
ABIDINGLY,99,1,3.79E-11,2.14E-11,2.39E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABILITIES,100,110719,4.20E-06,3.75E-06,2.34E-05,81036,0,0,0,0,0,0,0,0,4,12of12inf
ABILITY,101,15837802,0.000600316,0.000586341,0.000503531,1078151,0,0,0,0,0,0,0,0,4,12of12inf
ABJECT,102,28,1.06E-09,6.25E-10,1.78E-07,24,0,0,0,0,0,0,0,0,2,12of12inf
ABJECTION,103,7,2.65E-10,1.49E-10,7.89E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTIONS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTLY,105,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESS,106,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESSES,107,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATION,108,3,1.14E-10,1.99E-10,1.69E-07,2,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATIONS,109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATORY,110,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABJURE,111,3,1.14E-10,2.09E-11,2.33E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABJURED,112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABJURER,113,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJURERS,114,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJURES,115,1,3.79E-11,4.32E-11,4.83E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABJURING,116,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
