Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
CONVOKING,15819,8,3.03E-10,1.89E-10,1.15E-07,5,0,0,0,0,0,0,0,0,3,12of12inf
CONVOLUTED,15820,262,9.93E-09,1.11E-08,2.05E-06,132,0,0,0,0,0,0,0,0,4,12of12inf
CONVOLUTION,15821,63,2.39E-09,1.62E-09,4.37E-07,42,0,0,0,0,0,0,0,0,4,12of12inf
CONVOLUTIONS,15822,3,1.14E-10,5.14E-11,3.32E-08,3,0,0,0,0,0,0,0,0,4,12of12inf
CONVOY,15823,1168,4.43E-08,3.35E-08,3.66E-06,498,0,0,0,0,0,0,0,0,2,12of12inf
CONVOYED,15824,37,1.40E-09,1.72E-09,6.03E-07,21,0,0,0,0,0,0,0,0,2,12of12inf
CONVOYING,15825,1,3.79E-11,2.88E-12,3.21E-09,1,0,0,0,0,0,0,0,0,3,12of12inf
CONVOYS,15826,158,5.99E-09,4.04E-09,5.64E-07,114,0,0,0,0,0,0,0,0,2,12of12inf
CONVULSE,15827,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CONVULSED,15828,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CONVULSES,15829,7,2.65E-10,2.11E-10,8.97E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
CONVULSING,15830,3,1.14E-10,3.13E-11,2.48E-08,2,0,0,0,0,0,0,0,0,3,12of12inf
CONVULSION,15831,96,3.64E-09,1.95E-09,2.84E-07,84,0,0,0,0,0,0,0,0,3,12of12inf
CONVULSIONS,15832,331,1.25E-08,5.40E-09,4.59E-07,274,0,0,0,0,0,0,0,0,3,12of12inf
CONVULSIVE,15833,600,2.27E-08,1.52E-08,1.22E-06,317,0,0,0,0,0,0,0,0,3,12of12inf
CONVULSIVELY,15834,1,3.79E-11,2.75E-11,3.07E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
CONY,15835,286,1.08E-08,2.19E-08,7.17E-06,41,0,0,0,0,0,0,0,0,2,12of12inf
COO,15836,77022,2.92E-06,3.03E-06,3.62E-05,33210,0,0,0,0,0,0,0,0,1,12of12inf
COOED,15837,1,3.79E-11,5.99E-12,6.69E-09,1,0,0,0,0,0,0,0,0,1,12of12inf
COOING,15838,7,2.65E-10,2.36E-10,1.20E-07,7,0,0,0,0,0,0,0,0,2,12of12inf
COOK,15839,120086,4.55E-06,3.88E-06,6.16E-05,29043,0,0,0,0,0,0,0,0,1,12of12inf
COOKBOOK,15840,752,2.85E-08,4.89E-08,8.60E-06,272,0,0,0,0,0,0,0,0,2,12of12inf
COOKBOOKS,15841,594,2.25E-08,2.86E-08,3.08E-06,366,0,0,0,0,0,0,0,0,2,12of12inf
COOKED,15842,6900,2.62E-07,2.73E-07,9.79E-06,2848,0,0,0,0,0,0,0,0,1,12of12inf
COOKER,15843,620,2.35E-08,3.46E-08,4.53E-06,308,0,0,0,0,0,0,0,0,2,12of12inf
COOKERIES,15844,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COOKERS,15845,1176,4.46E-08,5.48E-08,5.66E-06,518,0,0,0,0,0,0,0,0,2,12of12inf
COOKERY,15846,77,2.92E-09,7.83E-09,3.56E-06,31,0,0,0,0,0,0,0,0,3,12of12inf
COOKIE,15847,12748,4.83E-07,4.72E-07,1.97E-05,4336,0,0,0,0,0,0,0,0,2,12of12inf
COOKIES,15848,35697,1.35E-06,9.88E-07,2.83E-05,8025,0,0,0,0,0,0,0,0,2,12of12inf
COOKING,15849,36554,1.39E-06,1.35E-06,3.62E-05,14047,0,0,0,0,0,0,0,0,2,12of12inf
COOKINGS,15850,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COOKOUT,15851,82,3.11E-09,1.48E-09,3.98E-07,35,0,0,0,0,0,0,0,0,2,12of12inf
COOKOUTS,15852,18,6.82E-10,1.13E-09,7.36E-07,17,0,0,0,0,0,0,0,0,2,12of12inf
COOKS,15853,1554,5.89E-08,6.37E-08,4.31E-06,948,0,0,0,0,0,0,0,0,1,12of12inf
COOKWARE,15854,3912,1.48E-07,1.65E-07,1.07E-05,1561,0,0,0,0,0,0,0,0,2,12of12inf
COOKWARES,15855,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COOKY,15856,1,3.79E-11,2.52E-11,2.82E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
COOL,15857,28129,1.07E-06,1.14E-06,3.32E-05,13447,0,0,0,0,0,0,0,0,1,12of12inf
COOLANT,15858,4287,1.62E-07,1.21E-07,7.76E-06,1742,0,0,0,0,0,0,0,0,2,12of12inf
COOLANTS,15859,1481,5.61E-08,3.97E-08,3.44E-06,680,0,0,0,0,0,0,0,0,2,12of12inf
COOLED,15860,19489,7.39E-07,7.00E-07,3.40E-05,7044,0,0,0,0,0,0,0,0,1,12of12inf
COOLER,15861,22318,8.46E-07,8.79E-07,2.04E-05,10283,0,0,0,0,0,0,0,0,2,12of12inf
COOLERS,15862,14629,5.54E-07,5.77E-07,1.82E-05,5306,0,0,0,0,0,0,0,0,2,12of12inf
COOLEST,15863,151,5.72E-09,5.61E-09,9.34E-07,123,0,0,0,0,0,0,0,0,2,12of12inf
COOLIE,15864,20,7.58E-10,2.03E-09,1.11E-06,9,0,0,0,0,0,0,0,0,2,12of12inf
COOLIES,15865,20,7.58E-10,1.89E-09,9.38E-07,10,0,0,0,0,0,0,0,0,2,12of12inf
COOLING,15866,222624,8.44E-06,4.92E-06,6.09E-05,46578,0,0,0,0,0,0,0,0,2,12of12inf
COOLLY,15867,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COOLNESS,15868,36,1.36E-09,1.32E-09,3.35E-07,35,0,0,0,0,0,0,0,0,2,12of12inf
COOLNESSES,15869,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COOLS,15870,939,3.56E-08,3.17E-08,1.87E-06,787,0,0,0,0,0,0,0,0,1,12of12inf
COON,15871,3480,1.32E-07,1.42E-07,1.17E-05,1240,0,0,0,0,0,0,0,0,1,12of12inf
COONS,15872,360,1.36E-08,9.66E-09,2.58E-06,161,0,0,0,0,0,0,0,0,1,12of12inf
COONSKIN,15873,3,1.14E-10,1.03E-10,7.72E-08,3,0,0,0,0,0,0,0,0,2,12of12inf
COONSKINS,15874,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COOP,15875,7952,3.01E-07,2.73E-07,3.06E-05,3085,0,0,0,0,0,0,0,0,1,12of12inf
COOPED,15876,2,7.58E-11,9.86E-11,1.01E-07,2,0,0,0,0,0,0,0,0,1,12of12inf
COOPER,15877,90983,3.45E-06,4.27E-06,7.91E-05,19637,0,0,0,0,0,0,0,0,2,12of12inf
COOPERAGE,15878,1109,4.20E-08,2.81E-08,2.94E-06,258,0,0,0,0,0,0,0,0,3,12of12inf
COOPERAGES,15879,35,1.33E-09,1.00E-09,2.25E-07,30,0,0,0,0,0,0,0,0,4,12of12inf
COOPERATE,15880,468841,1.78E-05,8.17E-06,3.50E-05,133787,0,0,0,0,0,0,0,0,4,12of12inf
COOPERATED,15881,22189,8.41E-07,7.00E-07,9.87E-06,14246,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATES,15882,6873,2.61E-07,1.43E-07,3.29E-06,4984,0,0,0,0,0,0,0,0,4,12of12inf
COOPERATING,15883,82426,3.12E-06,2.46E-06,2.13E-05,44198,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATION,15884,312564,1.18E-05,7.43E-06,4.64E-05,122721,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATIONS,15885,125,4.74E-09,3.46E-09,5.18E-07,99,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATIVE,15886,271731,1.03E-05,8.96E-06,9.30E-05,86410,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATIVELY,15887,10047,3.81E-07,2.68E-07,5.91E-06,7070,0,0,0,0,0,0,0,0,6,12of12inf
COOPERATIVENESS,15888,94,3.56E-09,1.43E-09,2.87E-07,51,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATIVENESSES,15889,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12of12inf
COOPERATIVES,15890,55590,2.11E-06,1.56E-06,5.22E-05,14952,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATOR,15891,253,9.59E-09,5.46E-09,2.22E-06,58,0,0,0,0,0,0,0,0,5,12of12inf
COOPERATORS,15892,130,4.93E-09,4.42E-09,7.38E-07,90,0,0,0,0,0,0,0,0,5,12of12inf
COOPERED,15893,4,1.52E-10,3.64E-10,2.87E-07,2,0,0,0,0,0,0,0,0,3,12of12inf
COOPERING,15894,2,7.58E-11,5.98E-11,4.99E-08,2,0,0,0,0,0,0,0,0,4,12of12inf
COOPERS,15895,45399,1.72E-06,2.89E-06,5.68E-05,19282,0,0,0,0,0,0,0,0,3,12of12inf
COOPING,15896,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COOPS,15897,304,1.15E-08,1.22E-08,1.97E-06,188,0,0,0,0,0,0,0,0,1,12of12inf
COORDINATE,15898,113872,4.32E-06,2.81E-06,2.09E-05,66528,0,0,0,0,0,0,0,0,4,12of12inf
COORDINATED,15899,96698,3.67E-06,2.78E-06,2.90E-05,57220,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATELY,15900,12,4.55E-10,1.58E-10,6.31E-08,12,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATES,15901,25848,9.80E-07,7.19E-07,1.87E-05,17094,0,0,0,0,0,0,0,0,4,12of12inf
COORDINATING,15902,69171,2.62E-06,1.84E-06,1.60E-05,47147,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATION,15903,150448,5.70E-06,3.48E-06,2.52E-05,73791,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATIONS,15904,61,2.31E-09,1.03E-09,2.76E-07,38,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATOR,15905,36815,1.40E-06,8.52E-07,1.68E-05,13537,0,0,0,0,0,0,0,0,5,12of12inf
COORDINATORS,15906,14332,5.43E-07,2.94E-07,8.70E-06,5119,0,0,0,0,0,0,0,0,5,12of12inf
COOS,15907,3645,1.38E-07,1.42E-07,1.54E-05,795,0,0,0,0,0,0,0,0,1,12of12inf
COOT,15908,86,3.26E-09,4.97E-09,1.89E-06,29,0,0,0,0,0,0,0,0,1,12of12inf
COOTIE,15909,6,2.27E-10,3.26E-10,1.49E-07,6,0,0,0,0,0,0,0,0,2,12of12inf
COOTIES,15910,1,3.79E-11,1.19E-11,1.34E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
COOTS,15911,750,2.84E-08,2.99E-08,5.33E-06,154,0,0,0,0,0,0,0,0,1,12of12inf
COP,15912,14005,5.31E-07,3.45E-07,2.15E-05,2568,0,0,0,0,0,0,0,0,1,12of12inf
COPACETIC,15913,1,3.79E-11,2.90E-11,3.25E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
COPAY,15914,3756,1.42E-07,5.19E-08,5.92E-06,1009,0,0,0,0,0,0,0,0,2,12of12inf
COPAYMENT,15915,4805,1.82E-07,8.95E-08,4.38E-06,1905,0,0,0,0,0,0,0,0,3,10K_2008
COPAYMENTS,15916,5834,2.21E-07,9.63E-08,3.81E-06,2671,0,0,0,0,0,0,0,0,3,10K_2008
COPAYS,15917,1201,4.55E-08,2.34E-08,1.71E-06,727,0,0,0,0,0,0,0,0,2,12of12inf
COPE,15918,9677,3.67E-07,4.52E-07,2.19E-05,5591,0,0,0,0,0,0,0,0,1,12of12inf
COPED,15919,60,2.27E-09,2.26E-09,4.16E-07,59,0,0,0,0,0,0,0,0,1,12of12inf
COPES,15920,335,1.27E-08,1.35E-08,1.24E-06,289,0,0,0,0,0,0,0,0,1,12of12inf
COPIED,15921,24529,9.30E-07,1.17E-06,2.02E-05,19542,0,0,0,0,0,0,0,0,2,12of12inf
COPIER,15922,12721,4.82E-07,6.05E-07,2.18E-05,5677,0,0,0,0,0,0,0,0,3,12of12inf
COPIERS,15923,12527,4.75E-07,5.55E-07,1.72E-05,6357,0,0,0,0,0,0,0,0,3,12of12inf
COPIES,15924,1415231,5.36E-05,2.97E-05,9.08E-05,291734,0,0,0,0,0,0,0,0,2,12of12inf
COPILOT,15925,608,2.30E-08,1.87E-08,1.92E-06,269,0,0,0,0,0,0,0,0,3,12of12inf
COPILOTS,15926,28,1.06E-09,8.27E-10,2.93E-07,23,0,0,0,0,0,0,0,0,3,12of12inf
COPING,15927,1750,6.63E-08,7.95E-08,4.12E-06,1403,0,0,0,0,0,0,0,0,2,12of12inf
COPINGS,15928,120,4.55E-09,2.44E-09,4.67E-07,77,0,0,0,0,0,0,0,0,2,12of12inf
COPIOUS,15929,154,5.84E-09,7.59E-09,1.52E-06,142,0,0,0,0,0,0,0,0,3,12of12inf
COPIOUSLY,15930,3,1.14E-10,3.99E-11,2.58E-08,3,0,0,0,0,0,0,0,0,4,12of12inf
COPIOUSNESS,15931,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPIOUSNESSES,15932,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
COPPED,15933,1,3.79E-11,4.14E-12,4.63E-09,1,0,0,0,0,0,0,0,0,1,12of12inf
COPPER,15934,383549,1.45E-05,1.42E-05,0.000208273,50015,0,0,0,0,0,0,0,0,2,12of12inf
COPPERHEAD,15935,974,3.69E-08,3.60E-08,5.05E-06,201,0,0,0,0,0,0,0,0,3,12of12inf
COPPERHEADS,15936,2,7.58E-11,2.80E-10,2.22E-07,2,0,0,0,0,0,0,0,0,3,12of12inf
COPPERPLATE,15937,29,1.10E-09,1.07E-09,6.99E-07,7,0,0,0,0,0,0,0,0,3,12of12inf
COPPERPLATES,15938,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPPERS,15939,49,1.86E-09,1.56E-09,4.09E-07,44,0,0,0,0,0,0,0,0,2,12of12inf
COPPERY,15940,6,2.27E-10,1.54E-10,8.74E-08,6,0,0,0,0,0,0,0,0,3,12of12inf
COPPICE,15941,20,7.58E-10,1.76E-10,7.84E-08,15,0,0,0,0,0,0,0,0,2,12of12inf
COPPICES,15942,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPPING,15943,18,6.82E-10,3.48E-09,3.14E-06,9,0,0,0,0,0,0,0,0,2,12of12inf
COPRA,15944,45,1.71E-09,6.39E-10,2.02E-07,22,0,0,0,0,0,0,0,0,2,12of12inf
COPRAS,15945,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COPROCESSOR,15946,258,9.78E-09,9.86E-09,1.81E-06,107,0,0,0,0,0,0,0,0,0,10K_2014
COPROCESSORS,15947,156,5.91E-09,5.54E-09,9.99E-07,105,0,0,0,0,0,0,0,0,0,10K_2014
COPRODUCT,15948,99,3.75E-09,3.02E-09,6.54E-07,67,0,0,0,0,0,0,0,0,3,10K_2018
COPRODUCTS,15949,391,1.48E-08,8.64E-09,9.70E-07,260,0,0,0,0,0,0,0,0,3,10K_2018
COPROMOTE,15950,814,3.09E-08,2.16E-08,2.01E-06,280,0,0,0,0,0,0,0,0,3,10K_2018
COPROMOTION,15951,4151,1.57E-07,1.29E-07,1.40E-05,512,0,0,0,0,0,0,0,0,4,10K_2008
COPS,15952,2078,7.88E-08,2.03E-07,3.32E-05,465,0,0,0,0,0,0,0,0,1,12of12inf
COPSE,15953,27,1.02E-09,6.09E-10,2.82E-07,18,0,0,0,0,0,0,0,0,1,12of12inf
COPSES,15954,334,1.27E-08,1.07E-08,1.94E-06,87,0,0,0,0,0,0,0,0,2,12of12inf
COPTER,15955,168,6.37E-09,1.06E-08,2.29E-06,107,0,0,0,0,0,0,0,0,2,12of12inf
COPTERS,15956,30,1.14E-09,7.03E-10,2.01E-07,21,0,0,0,0,0,0,0,0,2,12of12inf
COPULA,15957,36,1.36E-09,9.34E-10,2.26E-07,27,0,0,0,0,0,0,0,0,3,12of12inf
COPULAE,15958,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPULAS,15959,18,6.82E-10,9.61E-10,3.50E-07,11,0,0,0,0,0,0,0,0,3,12of12inf
COPULATE,15960,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPULATED,15961,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPULATES,15962,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPULATING,15963,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPULATION,15964,7,2.65E-10,1.21E-10,5.12E-08,7,0,0,0,0,0,0,0,0,4,12of12inf
COPULATIONS,15965,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPULATIVE,15966,6,2.27E-10,8.85E-11,4.86E-08,6,0,0,0,0,0,0,0,0,4,12of12inf
COPULATIVES,15967,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPY,15968,2104239,7.98E-05,4.70E-05,0.000195498,378263,0,0,0,0,0,0,0,0,2,12of12inf
COPYBOOK,15969,4,1.52E-10,1.06E-10,6.66E-08,4,0,0,0,0,0,0,0,0,3,12of12inf
COPYBOOKS,15970,25,9.48E-10,4.43E-10,1.30E-07,19,0,0,0,0,0,0,0,0,3,12of12inf
COPYCAT,15971,1638,6.21E-08,4.19E-08,2.31E-06,1078,0,0,0,0,0,0,0,0,3,12of12inf
COPYCATS,15972,82,3.11E-09,3.14E-09,6.30E-07,57,0,0,0,0,0,0,0,0,3,12of12inf
COPYCATTED,15973,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPYCATTING,15974,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
COPYING,15975,49186,1.86E-06,1.45E-06,1.82E-05,32479,0,0,0,0,0,0,0,0,3,12of12inf
COPYIST,15976,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COPYISTS,15977,9,3.41E-10,9.79E-11,4.74E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
COPYRIGHT,15978,461635,1.75E-05,1.10E-05,8.07E-05,135502,0,0,0,0,0,0,0,0,3,12of12inf
COPYRIGHTABLE,15979,28402,1.08E-06,5.65E-07,9.10E-06,13824,0,0,0,0,0,0,0,0,5,10K_2008
COPYRIGHTED,15980,26838,1.02E-06,8.77E-07,2.17E-05,14825,0,0,0,0,0,0,0,0,4,12of12inf
COPYRIGHTING,15981,334,1.27E-08,1.57E-08,1.59E-06,255,0,0,0,0,0,0,0,0,4,12of12inf
COPYRIGHTS,15982,338428,1.28E-05,7.64E-06,4.36E-05,128887,0,0,0,0,0,0,0,0,3,12of12inf
COPYWRITER,15983,87,3.30E-09,3.32E-09,5.47E-07,75,0,0,0,0,0,0,0,0,4,12of12inf
COPYWRITERS,15984,189,7.16E-09,6.10E-09,8.79E-07,142,0,0,0,0,0,0,0,0,4,12of12inf
COPYWRITING,15985,602,2.28E-08,2.90E-08,2.41E-06,430,0,0,0,0,0,0,0,0,0,10K_2014
COQUETRIES,15986,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COQUETRY,15987,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COQUETTE,15988,14,5.31E-10,4.34E-10,1.55E-07,12,0,0,0,0,0,0,0,0,2,12of12inf
COQUETTED,15989,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COQUETTES,15990,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
COQUETTING,15991,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COQUETTISH,15992,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
COQUETTISHLY,15993,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
CORACLE,15994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
CORACLES,15995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
CORAL,15996,37423,1.42E-06,1.82E-06,5.07E-05,10780,0,0,0,0,0,0,0,0,2,12of12inf
CORALS,15997,119,4.51E-09,8.42E-09,1.80E-06,87,0,0,0,0,0,0,0,0,2,12of12inf
CORBEL,15998,1361,5.16E-08,7.39E-08,1.33E-05,84,0,0,0,0,0,0,0,0,2,12of12inf
CORBELS,15999,15,5.69E-10,3.38E-10,1.41E-07,8,0,0,0,0,0,0,0,0,2,12of12inf
CORD,16000,50356,1.91E-06,1.68E-06,5.99E-05,9731,0,0,0,0,0,0,0,0,1,12of12inf
CORDAGE,16001,310,1.18E-08,1.24E-08,2.67E-06,159,0,0,0,0,0,0,0,0,2,12of12inf
CORDAGES,16002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
CORDED,16003,2433,9.22E-08,8.09E-08,4.71E-06,1031,0,0,0,0,0,0,0,0,2,12of12inf
CORDIAL,16004,1651,6.26E-08,4.40E-08,5.79E-06,355,0,0,0,0,0,0,0,0,2,12of12inf
CORDIALITIES,16005,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
CORDIALITY,16006,65,2.46E-09,3.33E-10,2.82E-07,5,0,0,0,0,0,0,0,0,4,12of12inf
CORDIALLY,16007,1498,5.68E-08,6.68E-08,3.42E-06,1267,0,0,0,0,0,0,0,0,3,12of12inf
CORDIALS,16008,563,2.13E-08,2.65E-08,4.69E-06,159,0,0,0,0,0,0,0,0,2,12of12inf
CORDILLERA,16009,4407,1.67E-07,1.92E-07,1.52E-05,869,0,0,0,0,0,0,0,0,4,12of12inf
CORDILLERAS,16010,611,2.32E-08,2.98E-08,6.93E-06,76,0,0,0,0,0,0,0,0,4,12of12inf
CORDING,16011,122,4.62E-09,3.01E-09,5.60E-07,110,0,0,0,0,0,0,0,0,2,12of12inf
CORDITE,16012,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORDITES,16013,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORDLESS,16014,10590,4.01E-07,3.96E-07,1.85E-05,2907,0,0,0,0,0,0,0,0,2,12of12inf
CORDON,16015,1132,4.29E-08,5.99E-08,6.41E-06,244,0,0,0,0,0,0,0,0,2,12of12inf
CORDONED,16016,33,1.25E-09,1.04E-09,2.36E-07,29,0,0,0,0,0,0,0,0,2,12of12inf
CORDONING,16017,3,1.14E-10,2.51E-11,1.69E-08,3,0,0,0,0,0,0,0,0,3,12of12inf
CORDONS,16018,3,1.14E-10,8.05E-11,6.92E-08,3,0,0,0,0,0,0,0,0,2,12of12inf
CORDOVAN,16019,190,7.20E-09,4.35E-09,1.01E-06,37,0,0,0,0,0,0,0,0,3,12of12inf
CORDOVANS,16020,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
CORDS,16021,4074,1.54E-07,1.49E-07,7.83E-06,2144,0,0,0,0,0,0,0,0,1,12of12inf
CORDUROY,16022,494,1.87E-08,2.25E-08,2.62E-06,241,0,0,0,0,0,0,0,0,3,12of12inf
CORDUROYS,16023,4,1.52E-10,5.23E-11,3.61E-08,4,0,0,0,0,0,0,0,0,3,12of12inf
CORE,16024,2076825,7.87E-05,7.29E-05,0.000220636,436480,0,0,0,0,0,0,0,0,1,12of12inf
CORED,16025,1370,5.19E-08,3.65E-08,2.27E-06,756,0,0,0,0,0,0,0,0,1,12of12inf
COREGISTRANT,16026,2036,7.72E-08,1.40E-07,1.81E-05,92,0,0,0,0,0,0,0,0,4,10K_2010
CORER,16027,22,8.34E-10,3.06E-10,1.47E-07,14,0,0,0,0,0,0,0,0,2,12of12inf
CORERS,16028,21,7.96E-10,1.70E-10,9.23E-08,5,0,0,0,0,0,0,0,0,2,12of12inf
CORES,16029,28487,1.08E-06,9.46E-07,3.20E-05,6810,0,0,0,0,0,0,0,0,1,12of12inf
CORESPONDENT,16030,51,1.93E-09,4.00E-09,1.08E-06,44,0,0,0,0,0,0,0,0,4,12of12inf
CORESPONDENTS,16031,12,4.55E-10,3.72E-10,1.72E-07,11,0,0,0,0,0,0,0,0,4,12of12inf
CORGI,16032,843,3.20E-08,4.77E-08,1.49E-05,53,0,0,0,0,0,0,0,0,2,12of12inf
CORGIS,16033,1,3.79E-11,6.97E-12,7.79E-09,1,0,0,0,0,0,0,0,0,2,12of12inf
CORIANDER,16034,115,4.36E-09,5.48E-09,1.58E-06,66,0,0,0,0,0,0,0,0,4,12of12inf
CORIANDERS,16035,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
CORING,16036,2872,1.09E-07,8.48E-08,5.77E-06,1405,0,0,0,0,0,0,0,0,2,12of12inf
CORK,16037,14840,5.62E-07,5.00E-07,2.80E-05,3467,0,0,0,0,0,0,0,0,1,12of12inf
CORKED,16038,13,4.93E-10,6.53E-10,2.87E-07,13,0,0,0,0,0,0,0,0,1,12of12inf
CORKER,16039,120,4.55E-09,5.24E-09,1.11E-06,80,0,0,0,0,0,0,0,0,2,12of12inf
CORKERS,16040,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORKING,16041,6,2.27E-10,2.06E-10,9.65E-08,6,0,0,0,0,0,0,0,0,2,12of12inf
CORKS,16042,370,1.40E-08,1.07E-08,1.12E-06,293,0,0,0,0,0,0,0,0,1,12of12inf
CORKSCREW,16043,584,2.21E-08,5.03E-08,8.21E-06,238,0,0,0,0,0,0,0,0,2,12of12inf
CORKSCREWED,16044,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORKSCREWING,16045,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
CORKSCREWS,16046,38,1.44E-09,2.92E-09,7.44E-07,35,0,0,0,0,0,0,0,0,2,12of12inf
CORM,16047,17,6.44E-10,1.12E-09,5.35E-07,13,0,0,0,0,0,0,0,0,1,12of12inf
CORMORANT,16048,745,2.82E-08,1.48E-08,2.03E-06,253,0,0,0,0,0,0,0,0,3,12of12inf
CORMORANTS,16049,11,4.17E-10,2.45E-11,2.74E-08,1,0,0,0,0,0,0,0,0,3,12of12inf
CORMORBIDITIES,16050,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10K_2020
CORMORBIDITY,16051,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10K_2020
CORMS,16052,5,1.90E-10,5.07E-10,2.53E-07,5,0,0,0,0,0,0,0,0,1,12of12inf
CORN,16053,298889,1.13E-05,1.21E-05,0.000246012,23135,0,0,0,0,0,0,0,0,1,12of12inf
CORNBALL,16054,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORNBALLS,16055,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
CORNBREAD,16056,79,2.99E-09,1.94E-09,3.32E-07,64,0,0,0,0,0,0,0,0,2,12of12inf
CORNBREADS,16057,1,3.79E-11,8.06E-12,9.01E-09,1,0,0,0,0,0,0,0,0,2,12of12inf
CORNCOB,16058,440,1.67E-08,1.85E-08,2.23E-06,134,0,0,0,0,0,0,0,0,2,12of12inf
CORNCOBS,16059,74,2.80E-09,3.63E-09,7.31E-07,62,0,0,0,0,0,0,0,0,2,12of12inf
CORNEA,16060,6566,2.49E-07,2.12E-07,1.82E-05,1403,0,0,0,0,0,0,0,0,3,12of12inf
CORNEAL,16061,11144,4.22E-07,2.94E-07,1.60E-05,1970,0,0,0,0,0,0,0,0,3,12of12inf
CORNEAS,16062,208,7.88E-09,3.60E-09,4.88E-07,120,0,0,0,0,0,0,0,0,3,12of12inf
CORNED,16063,270,1.02E-08,8.23E-09,1.02E-06,153,0,0,0,0,0,0,0,0,1,12of12inf
CORNER,16064,113438,4.30E-06,2.21E-06,4.54E-05,21031,0,0,0,0,0,0,0,0,2,12of12inf
