K,inertia,silhouette,davies_bouldin,calinski_harabasz
4,508.861664501915,0.5636473984908285,0.5443917900355728,1925.5488134721827
8,134.3880191157155,0.6508493496550942,0.49060228286641816,3648.8797534307005
12,71.30621430094757,0.6729607277633223,0.48497759472155,4470.591992922731
16,36.236193970635,0.8951474491977738,0.39145440031675327,6517.986579021189
20,18.491632939972046,0.8963057318345965,0.35164029526430157,10120.455198072865
24,8.924872353868365,0.9560747182388023,0.3188008693753555,17331.571560535733
28,4.434709180033483,0.9687915775718151,0.27627082316591095,29672.213238364784
32,2.1696172987258424,0.977723820010798,0.23045270849531002,52708.5789279714
36,1.0640653026320865,0.9838739757840309,0.19092839521772886,94939.28447481703
40,0.3159371271311209,0.9925815907204931,0.12580683829194683,286161.67110041407
44,1.9658804721886325e-28,0.9933234299454634,3.922457798590265e-08,3.8114307086359134e+31
48,1.9372144494138868e-28,0.9933234299454634,3.922457798590265e-08,3.8114307086359134e+31
52,1.964331543030859e-28,0.9933234299454634,3.922457798590265e-08,3.8114307086359134e+31
56,1.8493612290707186e-28,0.9933234299454634,3.922457798590265e-08,3.8114307086359125e+31
60,105.00171083710617,0.9933234299454634,3.922457798590265e-08,3.8114307086359125e+31
